id,acc_app_id,area,acc_activity_id,level2,actividad,organization_name
11299,599,LABORATORIOS,12,2012,ENSAYOS,Tecnova
11300,599,LABORATORIOS,12,2012,ENSAYOS,Tecnova
11306,1228,LABORATORIOS,12,1865,ENSAYOS,SertinLab
11308,1238,CERTIFICACIÓN,6,1013,PRODUCTOS,SICALECUADOR S.A.
11309,1238,CERTIFICACIÓN,6,1013,PRODUCTOS,SICALECUADOR S.A.
11314,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11315,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11316,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11317,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11318,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11320,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11321,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11322,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11323,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11324,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11325,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11326,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11327,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11329,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11330,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11331,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11332,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11333,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11334,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11335,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11336,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11337,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11339,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11340,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11341,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11342,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11343,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11344,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11345,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11346,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11347,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11348,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11350,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11351,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11352,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11353,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11354,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11355,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11356,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11357,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11358,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11359,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11360,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11362,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11363,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11364,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11365,517,LABORATORIOS,12,2012,ENSAYOS,GRUQUIMAR (GQM)
11366,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11367,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11368,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11369,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11371,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11372,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11373,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11376,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11377,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11378,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11379,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
11380,517,LABORATORIOS,12,1865,ENSAYOS,GRUQUIMAR (GQM)
