id,acc_app_id,area,acc_activity_id,actividad,organization_name,pais,province_id,provincia,canton
14758,1240,LABORATORIOS,12,ENSAYOS,"EMPRESA PUBLICA MUNICIPAL DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
14759,1240,LABORATORIOS,12,ENSAYOS,"EMPRESA PUBLICA MUNICIPAL DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
14760,1240,LABORATORIOS,12,ENSAYOS,"EMPRESA PUBLICA MUNICIPAL DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
19408,1219,LABORATORIOS,12,ENSAYOS,"EMPRESA DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
19410,1219,LABORATORIOS,12,ENSAYOS,"EMPRESA DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
19411,1219,LABORATORIOS,12,ENSAYOS,"EMPRESA DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
19412,1219,LABORATORIOS,12,ENSAYOS,"EMPRESA DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
19413,1219,LABORATORIOS,12,ENSAYOS,"EMPRESA DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
19414,1219,LABORATORIOS,12,ENSAYOS,"EMPRESA DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
19524,1219,LABORATORIOS,12,ENSAYOS,"EMPRESA DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
