"idOrganizacion";"idActividad";"level_2";"level_3";"level_4";"level_5";"level_6";"level_7";"level_8";"level_9";"level_10";"level_11"
"370";"12";NULL;"En laboratorio";"Análisis Físico – Químicos en Alimentos";"Absorción atómica-llama";"Manganeso";"Premezclas y alimento animal";"<p>(45&nbsp;a 80 000 ) mg/kg&nbsp;</p>";"<p>SEIN-MIN1</p>";"<p>AOAC 999.11 MODIFICADO</p>";NULL
"3";"12";NULL;"En laboratorio";"Ensayos físico-quimicos en petróleo";"Hidrómetro";"Gravedad API";"Petróleo Crudo";"<p>(12,9 a 30,3) °API</p>";"<p>AO-OP-01-B16-609</p>";"ASTM D1298-12b";NULL
"3";"12";NULL;"En laboratorio";"Ensayos físico-quimicos en petróleo";"Cálculo";"Densidad Relativa";"Petróleo Crudo";"<p>0,8745 a 0,9799</p>";"<p>AO-OP-01-B16-609</p>";"ASTM D1298-12b";NULL
"3";"12";NULL;"En laboratorio";"Ensayos físico-quimicos en petróleo";"Cálculo";"Gravedad API (base seca)";"Petróleo Crudo";"<p>(12,9 a 31,3) ºAPI</p>";"<p>AO-OP-01-B16-609</p>";"ASTM D1298-12b";NULL
"3";"12";NULL;"En laboratorio";"Ensayos físico-quimicos en petróleo";"Cálculo";"Densidad relativa seca";"Petróleo Crudo";"<p>0,8693 a 0,9799</p>";"<p>AO-OP-01-B16-609</p>";"ASTM D1298-12b";NULL
"3";"12";NULL;"En laboratorio";"Ensayos físico-quimicos en petróleo";"Capilar de vidrio";"Viscosidad";"Petróleo Crudo";"<p>(11,09 a 17 800) mm<sup>2</sup> /s&nbsp;&nbsp;(c St)</p>";"<p>AO-OP-01-B16-609</p>";"ASTM D445-21";NULL
"3";"12";NULL;"En laboratorio";"Ensayos físico-quimicos en petróleo";"Fluorescencia de Rayos-X";"Azufre";"Petróleo Crudo";"<p>(1,00 a 3,80) % m/m</p>";"<p>AO-OP-01-B16-609</p>";"ASTM D4294-16";NULL
"3";"12";NULL;"En laboratorio";"Ensayos físico-quimicos en petróleo";"Cálculo";"Agua y sedimento";"Petróleo Crudo";"<p>(0,056 a 4,030) % v/v</p>";"<p>AO-OP-01-B16-609</p>";"ASTM D7829-13 Reaprobada 2018";NULL
"3";"12";NULL;"En laboratorio";"Ensayos físico-quimicos en petróleo";"Destilación";"Agua";"Petróleo Crudo";"<p>(0,050 a 4,000) % v/v</p>";"<p>AO-OP-01-B16-609</p>";"ASTM D4006-16";NULL
"3";"12";NULL;"En laboratorio";"Ensayos físico-quimicos en petróleo";"Gravimetría";"Sedimentos";"Petróleo Crudo";"<p>(0,006 a 0,030) % v/v</p>";"<p>AO-OP-01-B16-609</p>";"ASTM D473-07 Reaprobada 2017";NULL
"41";"12";NULL;"En laboratorio";"Ensayos fisico-químicos en bebidas alcohólicas";"Cromatografía de Gases";"Determinación de Productos	Congéneres en Bebidas Alcohólicas";"Bebidas alcohólicas";"<p>Metanol</p><p>(1,5 a 300) mg/100ml AA</p><p>&nbsp;</p><p>Alcoholes superiores</p><p>(1,0 a 300) mg/100 ml AA</p><p>&nbsp;</p><p>Furfural</p><p>(1,0 a 300) mg/100 ml AA</p>";"<p>PEE.LASA.FQ.45</p>";"NTE INEN 2014:2015";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico – químicos en aguas";"Espectrofotometría de Absorción Atómica de Llama";"Metales";"Aguas naturales
Aguas de consumo";"<p>Zinc (Zn)</p><p>(0,10 a 1,0) mg/l</p>";"<p>PEE.LASA.INS.01</p>";"EPA 7000 B Rev. 2, 2007";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico – químicos en aguas";"Absorción Atómica (AAS) Horno de Grafito";"Metales";"Aguas naturales
Aguas de consumo";"<p>Plomo (Pb), (1 a 100) µg/l</p><p>&nbsp;</p><p>Cadmio (Cd) (0.5 a 10) µg/l</p>";"<p>PEE.LASA.FQ.35</p>";"EPA 7010: 2007";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico – químicos en aguas";"Espectrofotometría de absorción atómica-Horno de grafito";"Metales";"Aguas naturales
Aguas de consumo,Agua tratada";"<p>Antimonio (Sb) (6 a 40) ug/l</p>";"<p>PEE.LASA.FQ.37</p>";"EPA 7010 Rev. 0, 2007";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico – químicos en aguas";"Espectrofotometría de masas (GC-MS)";"Pesticidas
Organofosforados";"Aguas naturales
Aguas de consumo";"<p>Azynphos methyl (8 a 100) ug/l</p><p>Chlorpyrifos ethyl (8 a 100)</p><p>ug/l Demeton (2,77 a 34,6) ug/l</p><p>Diazinon (8 a 100) ug/l Dichlorvos (6,3 a 78,8)ug/l Dimethoate (4 a 50) ug/l</p><p>Disulfoton (4 a 50) ug/l</p><p>Ethoprop (4 a 50) ug/l</p><p>Malathion (4 a 50) ug/l</p><p>Methyl Parathion (4 a 50) ug/l Ethyl Parathion (4 a 50) ug/l Phorate (8 a 100)ug/l</p><p>Ronnel (4 a 50) ug/l</p><p>Terbufos (4 a 50) ug/l</p><p>Tetrachlorvinphos (4 a 50) ug/l</p>";"<p>PEE.LASA.FQ.39</p>";"EPA 8141 B, Rev. 2, 2007";NULL
